trajectory_id,environment,model,n_steps_total,critical_failure_module,failure_type,critical_failure_step,mean_memory_length,memory_proportion,memory_variability,mean_reflection_length,reflection_proportion,reflection_variability,mean_plan_length,plan_proportion,plan_variability,extraction_warnings,parse_errors
GPT-4o_001_alfworld_task_001,ALFWorld,gpt-4o,30,memory,over_simplification,16,70.17241379310344,0.2453580901856764,340.5049261083744,116.72413793103448,0.40812635640221845,360.3497536945813,95.8,0.34651555341210516,345.5448275862069,,
GPT-4o_002_alfworld_task_002,ALFWorld,gpt-4o,30,memory,over_simplification,24,74.6896551724138,0.24885110294117646,269.435960591133,127.34482758620689,0.42428768382352944,136.09113300492612,94.83333333333333,0.3268612132352941,97.52298850574712,,
GPT-4o_003_alfworld_task_003,ALFWorld,gpt-4o,30,system,tool_execution_error,7,75.20689655172414,0.25619640549747447,205.0985221674877,117.86206896551724,0.4015035827557853,280.19458128078816,97.13333333333334,0.3423000117467403,168.60229885057473,,
GPT-4o_004_alfworld_task_004,ALFWorld,gpt-4o,30,plan,inefficient_plan,4,82.72413793103448,0.26578772435187237,530.4926108374384,124.37931034482759,0.3996233104365167,260.0295566502463,100.66666666666667,0.3345889652116109,135.05747126436782,,
GPT-4o_005_alfworld_task_005,ALFWorld,gpt-4o,30,memory,over_simplification,8,83.51724137931035,0.26794999446841467,483.40147783251234,122.48275862068965,0.39296382343179553,388.7586206896552,102.16666666666667,0.3390861820997898,186.00574712643677,,
GPT-4o_006_alfworld_task_006,ALFWorld,gpt-4o,30,plan,inefficient_plan,5,80.75862068965517,0.2642744301512074,328.97536945812806,124.72413793103448,0.40814714511396977,198.7783251231527,96.76666666666667,0.32757842473482285,106.3919540229885,,
GPT-4o_007_alfworld_task_007,ALFWorld,gpt-4o,30,reflection,outcome_misinterpretation,3,73.20689655172414,0.24645925237984675,169.8128078817734,122.37931034482759,0.412003714882749,155.0295566502463,98.06666666666666,0.3415370327374042,259.8574712643678,,
GPT-4o_008_alfworld_task_008,ALFWorld,gpt-4o,30,memory,memory_retrieval_failure,5,87.37931034482759,0.2683185091063109,485.74384236453204,127.79310344827586,0.39241846675137654,392.45566502463055,106.8,0.3392630241423126,318.78620689655173,,
GPT-4o_009_alfworld_task_009,ALFWorld,gpt-4o,30,plan,impossible_action,10,73.3103448275862,0.2528544243577545,420.0073891625616,121.58620689655173,0.4193625118934348,177.2512315270936,91.86666666666666,0.32778306374881067,86.94712643678162,,
GPT-4o_010_alfworld_task_010,ALFWorld,gpt-4o,30,reflection,progress_misjudge,4,62.48275862068966,0.24566160520607375,194.75862068965517,107.89655172413794,0.4242136659436009,426.45320197044333,81.16666666666667,0.3301247288503254,218.83333333333334,,
GPT-4o_011_alfworld_task_011,ALFWorld,gpt-4o,30,plan,inefficient_plan,6,74.03448275862068,0.23742120977551698,300.46305418719214,131,0.420103947804932,170.35714285714286,103.23333333333333,0.342474842419551,102.66781609195402,,
GPT-4o_012_alfworld_task_012,ALFWorld,gpt-4o,30,memory,over_simplification,23,79.24137931034483,0.25502164021751195,469.97536945812806,127.65517241379311,0.41083120630340697,225.16256157635468,100.36666666666666,0.33414715347908114,213.06781609195403,,
