trajectory_id,environment,model,n_steps_total,critical_failure_module,failure_type,critical_failure_step,mean_memory_length,memory_proportion,memory_variability,mean_reflection_length,reflection_proportion,reflection_variability,mean_plan_length,plan_proportion,plan_variability,extraction_warnings,parse_errors
GPT-4o_001_alfworld_task_001,ALFWorld,gpt-4o,30,memory,over_simplification,16,94.41379310344827,0.27454126140579566,574.9655172413793,135.24137931034483,0.39326180687857215,457.7610837438424,110.43333333333334,0.3321969317156322,429.3574712643678,,
GPT-4o_002_alfworld_task_002,ALFWorld,gpt-4o,30,memory,over_simplification,24,96.27586206896552,0.27618953407854385,618.064039408867,143.10344827586206,0.4105252745078643,174.16748768472905,105.56666666666666,0.31328519141359185,118.11609195402299,,
GPT-4o_003_alfworld_task_003,ALFWorld,gpt-4o,30,system,tool_execution_error,7,103.48275862068965,0.29569415705980884,581.4014778325123,133.10344827586206,0.38033303773770816,366.5960591133005,109.6,0.323972805202483,238.1793103448276,,
GPT-4o_004_alfworld_task_004,ALFWorld,gpt-4o,30,plan,inefficient_plan,4,114.58620689655173,0.2998826820684054,1403.1083743842364,145.79310344827587,0.3815540113708149,342.2413793103448,117.66666666666667,0.3185633065607797,179.19540229885058,,
GPT-4o_005_alfworld_task_005,ALFWorld,gpt-4o,30,memory,over_simplification,8,121.34482758620689,0.30865713533900535,1431.0911330049262,146.27586206896552,0.3720726252083151,521.4211822660099,121.33333333333333,0.31927023945267957,247.4712643678161,,
GPT-4o_006_alfworld_task_006,ALFWorld,gpt-4o,30,plan,inefficient_plan,5,104.55172413793103,0.29351403678606003,779.0418719211823,140.41379310344828,0.3941916747337851,248.82266009852216,107.53333333333333,0.3122942884801549,127.2919540229885,,
GPT-4o_007_alfworld_task_007,ALFWorld,gpt-4o,30,reflection,outcome_misinterpretation,3,96.44827586206897,0.2756479747708682,517.756157635468,139.6551724137931,0.399132748595644,213.09113300492612,110,0.3252192766334877,336.41379310344826,,
GPT-4o_008_alfworld_task_008,ALFWorld,gpt-4o,30,memory,memory_retrieval_failure,5,117.79310344827586,0.30442919525888956,1491.7413793103449,145.58620689655172,0.3762588004634168,499.2512315270936,119.43333333333334,0.31931200427769363,353.28850574712646,,
GPT-4o_009_alfworld_task_009,ALFWorld,gpt-4o,30,plan,impossible_action,10,95.48275862068965,0.2837962488469817,1068.4014778325122,136.10344827586206,0.40453008096751053,201.95320197044336,101.36666666666666,0.31167367018550785,100.99885057471265,,
GPT-4o_010_alfworld_task_010,ALFWorld,gpt-4o,30,reflection,progress_misjudge,4,81.58620689655173,0.27220432581684306,348.4655172413793,124.06896551724138,0.4139438564196963,525.6379310344828,90.93333333333334,0.31385181776346066,292.9609195402299,,
GPT-4o_011_alfworld_task_011,ALFWorld,gpt-4o,30,plan,inefficient_plan,6,97.34482758620689,0.26847360912981455,891.6625615763547,145.86206896551724,0.40228245363766046,212.40886699507388,115.4,0.329243937232525,141.90344827586208,,
GPT-4o_012_alfworld_task_012,ALFWorld,gpt-4o,30,memory,over_simplification,23,105.17241379310344,0.2852600074822297,935.8620689655172,146.27586206896552,0.39674523007856344,338.564039408867,113.33333333333333,0.3179947624392069,293.4712643678161,,
